Orthogroup	ARSEF_1520	ARSEF_1564	ARSEF_2597	ARSEF_2860	ARSEF_3097	ARSEF_4305	ARSEF_5078	ARSEF_8028
OG0000010	FUN_001525-T1	"FUN_003018-T1, FUN_004849-T1"	FUN_004350-T1	"FUN_002518-T1, FUN_009008-T1"	"FUN_005642-T1, FUN_008783-T1"	FUN_006389-T1	FUN_009360-T1	FUN_006401-T1
OG0000011	FUN_002260-T1	"FUN_001240-T1, FUN_008902-T1"	FUN_003724-T1	"FUN_004365-T1, FUN_004366-T1"	FUN_001938-T1	FUN_000116-T1	"FUN_000715-T1, FUN_009500-T1"	FUN_000397-T1
OG0000012	FUN_006427-T1	FUN_000553-T1	"FUN_004073-T1, FUN_005351-T1"	FUN_001357-T1	FUN_001986-T1	FUN_004712-T1	FUN_002658-T1	"FUN_001819-T1, FUN_002336-T1, FUN_007029-T1"
OG0000013	FUN_006750-T1	FUN_008700-T1	FUN_005024-T1	FUN_003846-T1	"FUN_007690-T1, FUN_009315-T1"	"FUN_003942-T1, FUN_006748-T1"	"FUN_001443-T1, FUN_008393-T1"	FUN_001132-T1
OG0000014	FUN_006892-T1	"FUN_008026-T1, FUN_008635-T1"	FUN_006339-T1	"FUN_007263-T1, FUN_008571-T1, FUN_008965-T1"	FUN_004903-T1	FUN_007229-T1	FUN_008950-T1	FUN_008770-T1
OG0000015	"FUN_007676-T1, FUN_008614-T1"	"FUN_009385-T1, FUN_009401-T1"	"FUN_007822-T1, FUN_008561-T1"	FUN_009165-T1	FUN_008858-T1	FUN_007028-T1	FUN_009228-T1	FUN_008088-T1
OG0000016	"FUN_007680-T1, FUN_008609-T1"	"FUN_009003-T1, FUN_009296-T1"	"FUN_007817-T1, FUN_008558-T1"	FUN_009335-T1	FUN_004609-T1	FUN_009554-T1	FUN_009512-T1	FUN_008093-T1
OG0000017	FUN_008075-T1	FUN_008921-T1	"FUN_009315-T1, FUN_009536-T1"	"FUN_006843-T1, FUN_008922-T1"	FUN_001663-T1	FUN_009359-T1	"FUN_007994-T1, FUN_008517-T1"	FUN_007196-T1
OG0000018	FUN_008202-T1	FUN_007361-T1	FUN_005311-T1	FUN_007626-T1	FUN_003028-T1	"FUN_002741-T1, FUN_009375-T1"	FUN_007028-T1	"FUN_001109-T1, FUN_001433-T1, FUN_002043-T1"
OG0000019	FUN_008831-T1	"FUN_005155-T1, FUN_005156-T1"	FUN_008811-T1	FUN_004915-T1	FUN_000184-T1	"FUN_007126-T1, FUN_009459-T1, FUN_009625-T1"	FUN_000059-T1	FUN_005932-T1
OG0000020	FUN_009290-T1	"FUN_007866-T1, FUN_008025-T1"	FUN_005449-T1	"FUN_008717-T1, FUN_008975-T1, FUN_009312-T1"	FUN_002181-T1	FUN_009448-T1	FUN_003914-T1	FUN_001557-T1
OG0000021		FUN_004912-T1	"FUN_007809-T1, FUN_009237-T1"	FUN_009408-T1	FUN_009308-T1	FUN_008887-T1	"FUN_008462-T1, FUN_008712-T1, FUN_008919-T1, FUN_009412-T1"	FUN_000329-T1
OG0000022	FUN_000705-T1	"FUN_000985-T1, FUN_007863-T1"	FUN_000488-T1	FUN_000975-T1	"FUN_001605-T1, FUN_009217-T1"	FUN_009051-T1	FUN_008091-T1	FUN_003881-T1
OG0000023	FUN_000843-T1	FUN_003379-T1	FUN_000346-T1	"FUN_001114-T1, FUN_001115-T1"	FUN_002531-T1	FUN_009286-T1	FUN_006644-T1	"FUN_003742-T1, FUN_003743-T1"
OG0000024	FUN_001091-T1	FUN_001366-T1	"FUN_000086-T1, FUN_000087-T1"	FUN_006933-T1	FUN_008026-T1	FUN_003737-T1	"FUN_007951-T1, FUN_007952-T1"	FUN_003491-T1
OG0000025	FUN_001196-T1	FUN_004110-T1	FUN_009295-T1	FUN_006823-T1	FUN_006953-T1	FUN_004370-T1	FUN_006515-T1	"FUN_003384-T1, FUN_009155-T1, FUN_009188-T1"
OG0000026	FUN_001526-T1	"FUN_003016-T1, FUN_004847-T1"	FUN_004348-T1	FUN_002519-T1	"FUN_008744-T1, FUN_009067-T1"	FUN_006387-T1	FUN_009405-T1	FUN_006399-T1
OG0000027	"FUN_001684-T1, FUN_008356-T1, FUN_009092-T1"	FUN_006961-T1	FUN_004683-T1	FUN_006503-T1	FUN_003157-T1	FUN_001071-T1	FUN_003773-T1	FUN_006728-T1
OG0000028	FUN_001859-T1	"FUN_005118-T1, FUN_005119-T1"	FUN_002138-T1	FUN_006310-T1	"FUN_000211-T1, FUN_000212-T1"	FUN_003264-T1	FUN_005866-T1	FUN_006082-T1
OG0000029	FUN_002095-T1	FUN_002492-T1	"FUN_004974-T1, FUN_007667-T1, FUN_009622-T1"	FUN_001716-T1	FUN_008183-T1	FUN_005091-T1	FUN_000960-T1	FUN_000572-T1
OG0000030	FUN_002416-T1	"FUN_008252-T1, FUN_008657-T1"	FUN_003570-T1	FUN_003759-T1	FUN_008599-T1	FUN_001930-T1	"FUN_008499-T1, FUN_009130-T1"	FUN_000244-T1
OG0000031	"FUN_002501-T1, FUN_002502-T1"	FUN_004812-T1	FUN_003481-T1	FUN_003670-T1	FUN_008259-T1	"FUN_003921-T1, FUN_003922-T1"	FUN_008039-T1	FUN_000154-T1
OG0000032	FUN_002543-T1	FUN_007053-T1	FUN_003440-T1	"FUN_003629-T1, FUN_003630-T1"	FUN_006295-T1	FUN_002104-T1	"FUN_002505-T1, FUN_002506-T1"	FUN_000113-T1
OG0000033	"FUN_002647-T1, FUN_004501-T1"	FUN_007585-T1	"FUN_004249-T1, FUN_009485-T1"	FUN_008953-T1	FUN_003306-T1	"FUN_007495-T1, FUN_007823-T1"	FUN_008659-T1	
OG0000034	FUN_003237-T1	FUN_009218-T1	"FUN_009163-T1, FUN_009164-T1"	FUN_006510-T1	FUN_007123-T1	FUN_002297-T1	"FUN_002405-T1, FUN_002406-T1"	FUN_001607-T1
OG0000035	FUN_003467-T1	FUN_004190-T1	FUN_002969-T1	"FUN_003340-T1, FUN_008957-T1"	FUN_007107-T1	FUN_000015-T1	FUN_002127-T1	"FUN_004631-T1, FUN_005392-T1"
OG0000036	FUN_003885-T1	FUN_009200-T1	"FUN_009258-T1, FUN_009259-T1"	"FUN_006658-T1, FUN_006659-T1"	FUN_007421-T1	FUN_006445-T1	FUN_005909-T1	FUN_004972-T1
OG0000037	FUN_004193-T1	FUN_001767-T1	"FUN_001733-T1, FUN_005350-T1"	"FUN_000178-T1, FUN_000654-T1"	FUN_005073-T1	FUN_007624-T1	FUN_009166-T1	FUN_003007-T1
OG0000038	FUN_004301-T1	"FUN_008786-T1, FUN_008787-T1"	FUN_001846-T1	FUN_000066-T1	FUN_002059-T1	"FUN_006578-T1, FUN_006579-T1"	FUN_006866-T1	FUN_003115-T1
OG0000039	FUN_004497-T1		"FUN_008788-T1, FUN_009322-T1, FUN_009510-T1, FUN_009542-T1"	FUN_008563-T1	FUN_008619-T1	FUN_007496-T1	FUN_009171-T1	FUN_008084-T1
OG0000040	FUN_004799-T1	"FUN_005422-T1, FUN_007860-T1"	FUN_002550-T1	FUN_008421-T1	"FUN_004330-T1, FUN_004934-T1"	FUN_002656-T1	FUN_004666-T1	FUN_007682-T1
OG0000041	FUN_005049-T1	FUN_000816-T1	FUN_006907-T1	FUN_005145-T1	FUN_003279-T1	"FUN_008320-T1, FUN_009810-T1"	"FUN_006474-T1, FUN_009385-T1"	FUN_007939-T1
OG0000042	FUN_005849-T1	FUN_000257-T1	FUN_005655-T1	FUN_001941-T1	"FUN_006319-T1, FUN_007270-T1"	FUN_002944-T1	"FUN_003869-T1, FUN_006620-T1"	FUN_000792-T1
OG0000043	FUN_005947-T1	FUN_005929-T1	FUN_005543-T1	"FUN_001829-T1, FUN_001830-T1"	"FUN_006051-T1, FUN_006052-T1"	FUN_004789-T1	FUN_002543-T1	FUN_000681-T1
OG0000044	"FUN_005972-T1, FUN_009368-T1"	FUN_005881-T1	"FUN_003202-T1, FUN_004258-T1"		FUN_006765-T1	"FUN_000327-T1, FUN_006133-T1"	FUN_002745-T1	FUN_005631-T1
OG0000045	FUN_005991-T1	FUN_001724-T1	FUN_003223-T1	FUN_007900-T1	FUN_002350-T1	"FUN_008990-T1, FUN_009762-T1"	"FUN_009444-T1, FUN_009445-T1"	FUN_005651-T1
OG0000046	FUN_006148-T1	"FUN_006902-T1, FUN_009389-T1"	FUN_007555-T1	FUN_004798-T1	FUN_002735-T1	FUN_004768-T1	FUN_003268-T1	"FUN_001137-T1, FUN_005812-T1"
OG0000047	FUN_006350-T1	FUN_005565-T1	FUN_004150-T1	FUN_001281-T1	FUN_007790-T1	"FUN_000594-T1, FUN_007848-T1"	"FUN_006314-T1, FUN_006832-T1"	FUN_002414-T1
OG0000048	FUN_006458-T1	"FUN_000584-T1, FUN_006768-T1, FUN_006769-T1"	FUN_004041-T1	FUN_001389-T1	FUN_006634-T1	FUN_000414-T1	FUN_005577-T1	FUN_002305-T1
OG0000049	FUN_007077-T1	"FUN_006710-T1, FUN_008991-T1"	FUN_005957-T1	"FUN_004522-T1, FUN_004523-T1"	FUN_006838-T1	FUN_008581-T1	FUN_006371-T1	FUN_003174-T1
OG0000050	FUN_007508-T1	"FUN_001270-T1, FUN_009074-T1"	FUN_006978-T1	FUN_005565-T1	FUN_001132-T1	"FUN_001135-T1, FUN_008746-T1"	FUN_006621-T1	FUN_008009-T1
OG0000051	FUN_007606-T1	"FUN_001156-T1, FUN_009294-T1"	FUN_008760-T1	FUN_005468-T1	FUN_008418-T1	FUN_009382-T1	FUN_009321-T1	"FUN_008140-T1, FUN_009153-T1"
OG0000052	"FUN_007674-T1, FUN_008606-T1"	FUN_009099-T1	"FUN_007824-T1, FUN_008556-T1"	FUN_009337-T1	FUN_004611-T1	FUN_009493-T1		"FUN_008085-T1, FUN_008095-T1"
OG0000053	"FUN_007677-T1, FUN_008613-T1, FUN_008617-T1"	FUN_009164-T1	"FUN_007821-T1, FUN_008560-T1"	FUN_009168-T1	FUN_009096-T1	FUN_007026-T1		FUN_008089-T1
OG0000054	"FUN_007679-T1, FUN_008610-T1"	FUN_009297-T1	"FUN_007818-T1, FUN_009530-T1"	FUN_009334-T1	FUN_004608-T1	FUN_009811-T1	FUN_009358-T1	FUN_008092-T1
OG0000055	FUN_007915-T1	FUN_005408-T1		FUN_008371-T1	FUN_009143-T1		"FUN_002569-T1, FUN_007431-T1, FUN_008205-T1, FUN_008822-T1, FUN_009048-T1"	FUN_007002-T1
OG0000056	FUN_008086-T1	FUN_007452-T1	FUN_007925-T1	"FUN_007216-T1, FUN_007217-T1"	FUN_005099-T1	FUN_005539-T1	"FUN_003339-T1, FUN_003340-T1"	FUN_007204-T1
OG0000057	FUN_008437-T1	"FUN_002029-T1, FUN_002030-T1"	FUN_004761-T1	FUN_006421-T1	FUN_005575-T1	FUN_007115-T1	"FUN_008380-T1, FUN_008381-T1"	FUN_006809-T1
OG0000058	FUN_008565-T1	FUN_008384-T1	FUN_002205-T1	FUN_008033-T1	"FUN_001102-T1, FUN_007192-T1, FUN_007193-T1"	FUN_004602-T1	FUN_008794-T1	FUN_007354-T1
OG0000059	FUN_009308-T1	FUN_001613-T1	FUN_008033-T1	"FUN_006570-T1, FUN_008963-T1"	FUN_008225-T1	"FUN_001723-T1, FUN_009825-T1"	FUN_008421-T1	FUN_001669-T1
OG0000060		FUN_003021-T1	FUN_009129-T1	"FUN_008567-T1, FUN_009280-T1"	"FUN_003706-T1, FUN_006039-T1, FUN_006422-T1"	"FUN_009783-T1, FUN_009846-T1"		FUN_008076-T1
OG0000061	FUN_000014-T1	FUN_007865-T1		"FUN_008552-T1, FUN_008573-T1, FUN_009313-T1, FUN_009407-T1"		"FUN_002540-T1, FUN_006749-T1"		FUN_007033-T1
OG0000062	FUN_000015-T1	FUN_009176-T1	FUN_001190-T1	"FUN_008572-T1, FUN_009136-T1"	FUN_008257-T1	FUN_006750-T1	FUN_008847-T1	FUN_004572-T1
OG0000063	FUN_000037-T1	FUN_002863-T1	FUN_001171-T1	FUN_003866-T1	FUN_001899-T1	FUN_005424-T1	"FUN_007376-T1, FUN_009537-T1"	FUN_004554-T1
OG0000064	FUN_000065-T1	"FUN_002891-T1, FUN_003982-T1"	FUN_001146-T1	FUN_003893-T1	FUN_004372-T1	FUN_006881-T1	FUN_008261-T1	FUN_004526-T1
OG0000065	FUN_000194-T1	FUN_002842-T1	FUN_001015-T1	FUN_004028-T1	"FUN_008667-T1, FUN_008668-T1"	FUN_009002-T1	FUN_006415-T1	FUN_004396-T1
OG0000066	"FUN_000222-T1, FUN_003017-T1"	FUN_002813-T1	FUN_000984-T1	FUN_004057-T1	FUN_008297-T1	FUN_001155-T1	FUN_003658-T1	FUN_004368-T1
OG0000067	FUN_000286-T1	FUN_005238-T1	FUN_000922-T1	FUN_004121-T1	FUN_008152-T1	"FUN_002631-T1, FUN_009699-T1"	FUN_007242-T1	FUN_004306-T1
OG0000068	FUN_000433-T1	FUN_007312-T1	FUN_000771-T1	FUN_005694-T1	"FUN_001668-T1, FUN_004166-T1"	FUN_008726-T1	FUN_001371-T1	FUN_004155-T1
OG0000069	"FUN_000505-T1, FUN_008387-T1"	FUN_002319-T1	FUN_000694-T1	FUN_005620-T1	FUN_007357-T1	FUN_001010-T1	FUN_002199-T1	FUN_004084-T1
OG0000070	FUN_000548-T1	"FUN_002414-T1, FUN_007615-T1"	FUN_000647-T1	FUN_000814-T1	FUN_000104-T1	FUN_004558-T1	FUN_001704-T1	FUN_004039-T1
OG0000071	FUN_000614-T1	FUN_003188-T1	FUN_000584-T1	"FUN_000879-T1, FUN_000880-T1"	FUN_004798-T1	FUN_003910-T1	FUN_001322-T1	FUN_003975-T1
OG0000072	"FUN_000667-T1, FUN_008035-T1"	FUN_003786-T1	FUN_000527-T1	FUN_000936-T1	FUN_005627-T1	FUN_000468-T1	FUN_000293-T1	FUN_003920-T1
OG0000073	FUN_000699-T1	"FUN_000991-T1, FUN_009180-T1"	FUN_000494-T1	FUN_000969-T1	FUN_001611-T1	FUN_008555-T1	FUN_006993-T1	FUN_003887-T1
OG0000074	FUN_000788-T1	FUN_005621-T1	FUN_000402-T1	"FUN_000653-T1, FUN_001061-T1"	FUN_009424-T1	FUN_003752-T1	FUN_009488-T1	FUN_003797-T1
OG0000075	FUN_000847-T1	FUN_008271-T1	"FUN_000341-T1, FUN_000342-T1"	FUN_001119-T1	FUN_006009-T1	FUN_008022-T1	FUN_005544-T1	FUN_003738-T1
OG0000076	FUN_000881-T1	FUN_004305-T1	FUN_000307-T1	FUN_001152-T1	FUN_003298-T1	FUN_008656-T1	"FUN_005016-T1, FUN_007261-T1"	FUN_003704-T1
OG0000077	FUN_000907-T1	FUN_008001-T1	FUN_000281-T1	FUN_000661-T1	"FUN_006651-T1, FUN_006652-T1"	FUN_008219-T1	FUN_006130-T1	FUN_003678-T1
OG0000078	FUN_001015-T1	"FUN_001954-T1, FUN_008459-T1"	FUN_000166-T1	FUN_000772-T1	FUN_002660-T1	FUN_001336-T1	FUN_003260-T1	FUN_003571-T1
OG0000079	FUN_001044-T1	"FUN_001414-T1, FUN_009181-T1"	FUN_000137-T1	FUN_000802-T1	FUN_000275-T1	FUN_006321-T1	FUN_000974-T1	FUN_003542-T1
OG0000080	FUN_001053-T1	FUN_001406-T1	"FUN_000127-T1, FUN_000128-T1"	FUN_000810-T1	FUN_000267-T1	FUN_005312-T1	FUN_000141-T1	FUN_003534-T1
OG0000081	FUN_001088-T1	FUN_001369-T1	FUN_000089-T1	FUN_006936-T1	FUN_004035-T1	"FUN_003731-T1, FUN_009670-T1"	FUN_000103-T1	FUN_003496-T1
OG0000082	FUN_001135-T1	"FUN_005808-T1, FUN_006777-T1"	FUN_000040-T1	FUN_006887-T1	FUN_006468-T1	FUN_008289-T1	FUN_006952-T1	FUN_003445-T1
OG0000083	FUN_001182-T1	FUN_004095-T1	FUN_009310-T1	FUN_006837-T1	"FUN_004540-T1, FUN_008463-T1"	FUN_007077-T1	FUN_006894-T1	FUN_003399-T1
OG0000084	FUN_001187-T1	FUN_004100-T1	"FUN_008599-T1, FUN_009305-T1"	FUN_006832-T1		FUN_008962-T1	"FUN_005892-T1, FUN_005893-T1"	FUN_003394-T1
OG0000085	FUN_001234-T1	FUN_008399-T1	FUN_004648-T1	FUN_009023-T1	FUN_004302-T1	"FUN_007669-T1, FUN_009418-T1"	FUN_006802-T1	FUN_006695-T1
OG0000086	FUN_001375-T1	FUN_008695-T1	FUN_004506-T1	FUN_002366-T1	FUN_001775-T1	FUN_003205-T1	"FUN_007381-T1, FUN_007382-T1"	FUN_006555-T1
OG0000087	FUN_001379-T1	FUN_006469-T1	FUN_004501-T1	FUN_002370-T1	FUN_001780-T1	"FUN_003199-T1, FUN_003200-T1"	FUN_003824-T1	FUN_006551-T1
OG0000088	FUN_001396-T1	FUN_006453-T1	FUN_004481-T1	"FUN_002386-T1, FUN_002387-T1"	FUN_001796-T1	FUN_009630-T1	FUN_009157-T1	FUN_006534-T1
OG0000089	FUN_001680-T1	FUN_009387-T1	FUN_006757-T1	FUN_006157-T1	FUN_006132-T1	FUN_006121-T1	"FUN_002008-T1, FUN_007257-T1"	FUN_006240-T1
OG0000090	FUN_001688-T1	FUN_007381-T1	FUN_006765-T1	FUN_006165-T1	FUN_003863-T1	FUN_008171-T1	"FUN_002016-T1, FUN_002017-T1"	FUN_006232-T1
OG0000091	FUN_001690-T1	FUN_007383-T1	FUN_006767-T1	"FUN_006167-T1, FUN_006168-T1"	FUN_003865-T1	FUN_008174-T1	FUN_002019-T1	FUN_006230-T1
OG0000092	FUN_001698-T1	"FUN_000270-T1, FUN_008990-T1"	FUN_006775-T1	FUN_006176-T1	FUN_003873-T1	FUN_006869-T1	FUN_002027-T1	FUN_006222-T1
OG0000093	FUN_001706-T1	"FUN_000282-T1, FUN_003978-T1"	FUN_006784-T1	FUN_006184-T1	FUN_004967-T1	FUN_006861-T1	FUN_006124-T1	FUN_006213-T1
OG0000094	"FUN_001712-T1, FUN_001891-T1"	FUN_007461-T1	FUN_007057-T1	FUN_009151-T1	"FUN_003605-T1, FUN_003945-T1"	"FUN_002541-T1, FUN_009530-T1"		
OG0000095	FUN_001831-T1	FUN_000388-T1	FUN_006883-T1	FUN_006282-T1	FUN_006130-T1	FUN_005608-T1	FUN_001081-T1	"FUN_006111-T1, FUN_009185-T1"
OG0000096	FUN_001839-T1	FUN_005139-T1	FUN_006891-T1	FUN_006289-T1	FUN_009379-T1	"FUN_003243-T1, FUN_005599-T1"	FUN_001089-T1	FUN_006103-T1
OG0000097	FUN_001844-T1	"FUN_005134-T1, FUN_008037-T1"	FUN_006897-T1	FUN_006295-T1	FUN_000195-T1	FUN_003250-T1	FUN_001095-T1	FUN_006097-T1
OG0000098	FUN_001878-T1	"FUN_005187-T1, FUN_007868-T1"	FUN_002117-T1	FUN_006332-T1	FUN_000234-T1	FUN_005060-T1	FUN_001246-T1	FUN_006061-T1
OG0000099	"FUN_001900-T1, FUN_002474-T1"	FUN_004786-T1	FUN_003508-T1	FUN_003697-T1	FUN_007604-T1	FUN_005856-T1	FUN_006001-T1	FUN_000181-T1
OG0000100	"FUN_001901-T1, FUN_002475-T1"	FUN_004787-T1	FUN_003507-T1	FUN_003696-T1	FUN_007603-T1	FUN_005857-T1	FUN_006002-T1	FUN_000180-T1
OG0000101	"FUN_001904-T1, FUN_002476-T1"	FUN_004788-T1	FUN_003506-T1	FUN_003695-T1	FUN_007602-T1	FUN_005858-T1	FUN_006003-T1	FUN_000179-T1
OG0000102	"FUN_001912-T1, FUN_008742-T1"	FUN_006434-T1	FUN_009586-T1	FUN_005955-T1	FUN_000307-T1	FUN_000391-T1	FUN_002715-T1	FUN_004619-T1
OG0000103	FUN_001920-T1	FUN_008244-T1	FUN_002100-T1	"FUN_007488-T1, FUN_009050-T1"	FUN_006235-T1	FUN_007141-T1	FUN_004332-T1	FUN_006042-T1
OG0000104	FUN_001963-T1	FUN_004626-T1	FUN_002058-T1	"FUN_007446-T1, FUN_008435-T1"	FUN_008344-T1	FUN_000909-T1	FUN_000801-T1	FUN_005998-T1
OG0000105	FUN_002004-T1	FUN_006666-T1	FUN_005526-T1	FUN_001811-T1	"FUN_008268-T1, FUN_009169-T1"	FUN_005380-T1	FUN_001417-T1	FUN_000663-T1
OG0000106	FUN_002039-T1	FUN_002437-T1	FUN_007611-T1	FUN_001774-T1	FUN_008437-T1	FUN_001893-T1	"FUN_001918-T1, FUN_009027-T1"	FUN_000626-T1
OG0000107	"FUN_002093-T1, FUN_006825-T1"	FUN_002490-T1	FUN_007665-T1	FUN_001718-T1	FUN_008181-T1	FUN_008546-T1	FUN_000962-T1	FUN_000574-T1
OG0000108	FUN_002184-T1	FUN_007209-T1	"FUN_002212-T1, FUN_003804-T1"	FUN_004281-T1	FUN_003998-T1	FUN_001685-T1	FUN_004747-T1	FUN_000478-T1
OG0000109	FUN_002240-T1	FUN_004054-T1	FUN_003744-T1	FUN_004344-T1	FUN_003324-T1	"FUN_008638-T1, FUN_009524-T1"	FUN_008024-T1	FUN_000417-T1
OG0000110	FUN_002299-T1	FUN_001200-T1	"FUN_003680-T1, FUN_005687-T1"	FUN_004407-T1	FUN_002102-T1	FUN_000161-T1	FUN_000503-T1	FUN_000357-T1
OG0000111	FUN_002473-T1	FUN_004785-T1	FUN_003509-T1	FUN_003698-T1	FUN_007605-T1	FUN_005855-T1	"FUN_005999-T1, FUN_006000-T1"	FUN_000182-T1
OG0000112	FUN_002492-T1	FUN_004803-T1	FUN_003490-T1	FUN_003679-T1	"FUN_004766-T1, FUN_009320-T1"	FUN_003931-T1	FUN_004631-T1	FUN_000163-T1
OG0000113	FUN_002522-T1	FUN_006161-T1	FUN_003460-T1	FUN_003650-T1	FUN_005033-T1	FUN_003669-T1	"FUN_004070-T1, FUN_008769-T1"	FUN_000133-T1
OG0000114	"FUN_002648-T1, FUN_009178-T1"		"FUN_008968-T1, FUN_009464-T1, FUN_009557-T1"	FUN_009513-T1	FUN_003307-T1	FUN_007822-T1	FUN_009573-T1	
OG0000115	FUN_002742-T1	"FUN_000793-T1, FUN_000794-T1"	FUN_003840-T1	FUN_001586-T1	FUN_005762-T1	FUN_004184-T1	FUN_006150-T1	FUN_002110-T1
OG0000116	FUN_002753-T1	FUN_000782-T1	FUN_006462-T1	"FUN_001598-T1, FUN_001599-T1"	FUN_006520-T1	FUN_008956-T1	FUN_004688-T1	FUN_002092-T1
OG0000117	FUN_002761-T1	"FUN_000774-T1, FUN_008331-T1"	FUN_006470-T1	FUN_001607-T1	FUN_005826-T1	FUN_002258-T1	FUN_000056-T1	FUN_002084-T1
OG0000118	FUN_002872-T1	FUN_008084-T1	FUN_006577-T1	FUN_001713-T1	FUN_000391-T1	"FUN_000700-T1, FUN_003592-T1"	FUN_000147-T1	FUN_001973-T1
OG0000119	FUN_002931-T1	"FUN_003556-T1, FUN_007845-T1"	FUN_006634-T1	FUN_004976-T1	FUN_000891-T1	FUN_002999-T1	FUN_006336-T1	FUN_001913-T1
OG0000120	FUN_002932-T1	FUN_009361-T1	FUN_006635-T1	"FUN_004500-T1, FUN_004977-T1"	FUN_007615-T1	FUN_002998-T1	FUN_009442-T1	FUN_001912-T1
OG0000121	FUN_002957-T1	FUN_003990-T1	FUN_006659-T1	"FUN_005004-T1, FUN_008559-T1"	FUN_002303-T1	FUN_003170-T1	FUN_000686-T1	FUN_001886-T1
OG0000122	FUN_003034-T1	FUN_006825-T1	FUN_007792-T1	FUN_005079-T1	"FUN_005836-T1, FUN_007649-T1"	FUN_001523-T1	FUN_007650-T1	FUN_001810-T1
OG0000123	FUN_003091-T1	FUN_006851-T1	FUN_007743-T1	FUN_007502-T1	FUN_002503-T1	"FUN_002485-T1, FUN_007027-T1"	FUN_009293-T1	FUN_001756-T1
OG0000124	FUN_003106-T1	"FUN_004424-T1, FUN_006358-T1"	FUN_008106-T1	FUN_006643-T1	FUN_003703-T1	FUN_004195-T1	FUN_007556-T1	FUN_001741-T1
OG0000125	FUN_003205-T1	FUN_001642-T1	FUN_008003-T1	FUN_006539-T1	"FUN_008175-T1, FUN_008585-T1"	FUN_001690-T1	FUN_008286-T1	FUN_001639-T1
OG0000126	FUN_003221-T1	FUN_007157-T1	FUN_009182-T1	FUN_006526-T1	FUN_007815-T1	FUN_009784-T1	FUN_002424-T1	"FUN_001623-T1, FUN_001624-T1"
OG0000127	FUN_003243-T1	"FUN_008006-T1, FUN_009386-T1"	FUN_009157-T1	FUN_008284-T1	FUN_003352-T1	FUN_002303-T1	FUN_005366-T1	FUN_001597-T1
